;ProbandId;BlockId;TrialNumber;TrialId;Condition;ConditionId;Visual;Tactile;ResultLayerCorrect;ResultLayerDifference;ResultLayerDifference_Abs;ResultLayerDifference_Proz;ResultNumberCorrect;ResultNumberDifference;TrialDurationS;LayerChangeCount;ShowNumberCount;ShowNumberDiff;ShowNumberDurationMS;CenterDurationMS;SumCorrect;BothCorrect;NoneCorrect;OneCorrect
8;2;0;0;0;No Feedback;0;0;0;1;0;0;0.0;1;0;73.02300000000001;60;21;39;772.142857142857;1036.1428571428569;2;1;0;0
9;2;0;1;1;No Feedback;0;0;0;1;0;0;0.0;1;0;34.747;19;8;11;1066.2500000000002;1596.25;2;1;0;0
10;2;0;2;2;No Feedback;0;0;0;0;-1;1;0.14285714285714285;1;0;54.514;43;12;31;841.1666666666666;1249.4166666666665;1;0;0;1
11;2;0;3;3;No Feedback;0;0;0;1;0;0;0.0;1;0;52.633;40;13;27;470.3076923076923;1111.2307692307693;2;1;0;0
12;2;0;4;4;No Feedback;0;0;0;1;0;0;0.0;1;0;50.048;32;18;14;511.61111111111114;1508.388888888889;2;1;0;0
13;2;0;5;5;No Feedback;0;0;0;1;0;0;0.0;1;0;66.212;62;12;50;404.75;1115.8333333333333;2;1;0;0
14;2;0;6;6;No Feedback;0;0;0;1;0;0;0.0;1;0;28.664;20;8;12;610.875;1197.8750000000002;2;1;0;0
15;2;0;7;7;No Feedback;0;0;0;1;0;0;0.0;1;0;54.637;42;11;31;476.63636363636357;990.5454545454545;2;1;0;0
16;2;0;8;8;No Feedback;0;0;0;1;0;0;0.0;1;0;34.809000000000005;22;10;12;931.2000000000002;1542.3000000000002;2;1;0;0
17;2;0;9;9;No Feedback;0;0;0;1;0;0;0.0;1;0;40.015;24;11;13;397.18181818181824;1584.818181818182;2;1;0;0
18;2;0;10;10;No Feedback;0;0;0;1;0;0;0.0;1;0;55.699000000000005;44;12;32;739.0833333333333;1413.25;2;1;0;0
19;2;0;11;11;No Feedback;0;0;0;1;0;0;0.0;1;0;32.127;21;9;12;536.2222222222223;1029.2222222222222;2;1;0;0
20;2;0;12;12;No Feedback;0;0;0;1;0;0;0.0;1;0;24.896;14;8;6;741.6250000000001;1293.5;2;1;0;0
21;2;0;13;13;No Feedback;0;0;0;1;0;0;0.0;1;0;39.889;33;7;26;693.5714285714287;1199.142857142857;2;1;0;0
22;2;0;14;14;No Feedback;0;0;0;1;0;0;0.0;1;0;40.944;30;12;18;591.6666666666666;1810.1666666666665;2;1;0;0
23;2;0;15;15;No Feedback;0;0;0;1;0;0;0.0;1;0;24.99;15;7;8;417.4285714285714;1154.5714285714284;2;1;0;0
24;2;0;16;16;No Feedback;0;0;0;1;0;0;0.0;1;0;38.114;24;12;12;656.1666666666666;1618.25;2;1;0;0
25;2;0;17;17;No Feedback;0;0;0;1;0;0;0.0;1;0;40.456;30;11;19;656.3636363636364;1614.818181818182;2;1;0;0
26;2;0;18;18;No Feedback;0;0;0;1;0;0;0.0;1;0;35.11;25;11;14;475.8181818181819;1459.727272727273;2;1;0;0
27;2;0;19;19;No Feedback;0;0;0;1;0;0;0.0;1;0;38.472;31;11;20;647.2727272727274;1054.181818181818;2;1;0;0
28;2;0;20;20;No Feedback;0;0;0;1;0;0;0.0;1;0;21.536;10;7;3;845.7142857142859;1163.0;2;1;0;0
29;2;1;21;0;Combined Feedback;3;1;1;1;0;0;0.0;1;0;38.167;13;8;5;1676.25;1757.875;2;1;0;0
30;2;1;22;1;Combined Feedback;3;1;1;0;-1;1;0.14285714285714285;1;0;27.086;20;8;12;1361.625;1243.5;1;0;0;1
31;2;1;23;2;Combined Feedback;3;1;1;1;0;0;0.0;1;0;38.611;20;10;10;1336.9;1785.0000000000002;2;1;0;0
32;2;1;24;3;Combined Feedback;3;1;1;1;0;0;0.0;1;0;23.725;15;8;7;1111.875;1583.875;2;1;0;0
33;2;1;25;4;Combined Feedback;3;1;1;1;0;0;0.0;1;0;24.492;13;7;6;1294.5714285714284;1622.0;2;1;0;0
34;2;1;26;5;Combined Feedback;3;1;1;1;0;0;0.0;1;0;20.555;13;9;4;914.3333333333333;1457.2222222222222;2;1;0;0
35;2;1;27;6;Combined Feedback;3;1;1;1;0;0;0.0;1;0;28.290000000000003;16;8;8;1492.6249999999998;1660.5;2;1;0;0
36;2;1;28;7;Combined Feedback;3;1;1;0;-1;1;0.14285714285714285;1;0;31.567000000000004;14;8;6;2045.0;1278.8750000000002;1;0;0;1
37;2;1;29;8;Combined Feedback;3;1;1;1;0;0;0.0;1;0;22.6;12;8;4;1151.25;1265.25;2;1;0;0
38;2;1;30;9;Combined Feedback;3;1;1;1;0;0;0.0;1;0;22.503;13;7;6;1335.7142857142853;1202.4285714285713;2;1;0;0
39;2;1;31;10;Combined Feedback;3;1;1;1;0;0;0.0;0;-1;24.637;14;8;6;1259.125;1425.5000000000002;1;0;0;1
40;2;1;32;11;Combined Feedback;3;1;1;1;0;0;0.0;1;0;23.589;16;7;9;1434.857142857143;1301.2857142857144;2;1;0;0
41;2;1;33;12;Combined Feedback;3;1;1;1;0;0;0.0;1;0;21.581000000000003;12;7;5;1367.142857142857;1366.857142857143;2;1;0;0
42;2;1;34;13;Combined Feedback;3;1;1;1;0;0;0.0;1;0;19.861;14;7;7;1161.857142857143;1057.1428571428569;2;1;0;0
43;2;1;35;14;Combined Feedback;3;1;1;1;0;0;0.0;1;0;24.007;22;8;14;864.2500000000001;1086.75;2;1;0;0
44;2;1;36;15;Combined Feedback;3;1;1;1;0;0;0.0;1;0;23.127;15;8;7;993.375;1290.0;2;1;0;0
45;2;1;37;16;Combined Feedback;3;1;1;1;0;0;0.0;1;0;18.233;13;7;6;817.4285714285716;991.0000000000002;2;1;0;0
46;2;1;38;17;Combined Feedback;3;1;1;1;0;0;0.0;1;0;25.707;12;10;2;1163.7;1620.1000000000001;2;1;0;0
47;2;1;39;18;Combined Feedback;3;1;1;1;0;0;0.0;1;0;18.471;13;7;6;1029.2857142857144;1141.7142857142858;2;1;0;0
48;2;1;40;19;Combined Feedback;3;1;1;1;0;0;0.0;1;0;20.688;12;7;5;1046.0;1222.2857142857144;2;1;0;0
49;2;1;41;20;Combined Feedback;3;1;1;1;0;0;0.0;1;0;20.667;13;8;5;876.2500000000001;1545.2500000000002;2;1;0;0
