;ProbandId;BlockId;Condition;ConditionId;ResultLayerDifference;ResultLayerDifference_Abs;ResultLayerDifference_Proz;BothCorrect;OneCorrect;NoneCorrect;ResultLayerCorrectCount;ResultLayerCorrectRatio;ResultNumberCorrectCount;ResultNumberCorrectRatio;ResultLayerDifferenceRatio;ResultLayerDifferenceRatio_Abs;ResultLayerDifferenceRatio_Proz;ResultLayerErrorCount;ResultNumberErrorCount;ResultErrorLayerANDNumber;ResultErrorLayerXORNumber;ResultErrorLayerORNumber;TrialDurationMeanS
69;11;1;Visual Feedback;2;-1;1;0.14285714285714285;20;1;0;20;0.9523809523809523;21;1.0;-0.047619047619047616;0.047619047619047616;0.006802721088435374;1;0;0;1;1;27.90009523809524
70;11;2;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;31.377523809523815
71;11;3;No Feedback;0;-4;4;0.5714285714285714;19;1;1;19;0.9047619047619048;20;0.9523809523809523;-0.19047619047619047;0.19047619047619047;0.027210884353741496;2;1;1;1;2;35.380809523809525
76;12;0;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;40.160428571428575
77;12;1;No Feedback;0;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;34.846380952380954
78;12;2;Tactile Feedback;1;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;36.21042857142857
79;12;3;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;29.56942857142858
84;13;0;Tactile Feedback;1;1;1;0.14285714285714285;20;1;0;20;0.9523809523809523;21;1.0;0.047619047619047616;0.047619047619047616;0.006802721088435374;1;0;0;1;1;37.422714285714285
85;13;1;No Feedback;0;0;6;0.857142857142857;17;2;2;18;0.8571428571428571;18;0.8571428571428571;0.0;0.2857142857142857;0.040816326530612235;3;3;2;2;4;34.81066666666666
86;13;2;Visual Feedback;2;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;30.887666666666664
87;13;3;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;26.30771428571429
92;14;0;Visual Feedback;2;-2;2;0.2857142857142857;17;4;0;19;0.9047619047619048;19;0.9047619047619048;-0.09523809523809523;0.09523809523809523;0.013605442176870748;2;2;0;4;4;35.85447619047619
93;14;1;Tactile Feedback;1;7;15;2.142857142857143;13;5;3;15;0.7142857142857143;16;0.7619047619047619;0.3333333333333333;0.7142857142857143;0.10204081632653061;6;5;3;5;8;43.817571428571426
94;14;2;Combined Feedback;3;0;0;0.0;21;0;0;21;1.0;21;1.0;0.0;0.0;0.0;0;0;0;0;0;29.700809523809532
95;14;3;No Feedback;0;5;5;0.7142857142857143;18;2;1;20;0.9523809523809523;18;0.8571428571428571;0.23809523809523808;0.23809523809523808;0.034013605442176874;1;3;1;2;3;41.93342857142857
