;count;mean;std;min;5%;10%;25%;50%;75%;90%;95%;99%;max;ci95_hi;ci95_lo;iqr;lower_bound;upper_bound;lower_whisker;upper_whisker
0;462.0;35.396103896103895;14.76647673322335;8.0;19.0;21.0;25.0;32.0;42.0;54.0;63.0;83.38999999999999;125.0;36.74262129356501;34.04958649864278;17.0;-0.5;67.5;8.0;65.0
1;462.0;36.616883116883116;16.45286360636498;10.0;19.0;21.0;25.0;33.0;44.0;56.0;67.94999999999999;97.0;123.0;38.117177837436216;35.116588396330016;19.0;-3.5;72.5;10.0;71.0
2;462.0;27.846320346320347;9.018911048228285;14.0;17.0;18.0;21.0;26.0;33.0;40.900000000000034;45.0;56.389999999999986;62.0;28.66873187020609;27.023908822434603;12.0;3.0;51.0;14.0;51.0
3;462.0;28.49134199134199;10.379508571948511;14.0;17.0;19.0;22.0;26.0;32.0;41.0;46.94999999999999;62.899999999999864;108.0;29.437822937455568;27.544861045228412;10.0;7.0;47.0;14.0;47.0
4;1848.0;32.08766233766234;13.593522907071105;8.0;;;23.0;28.0;38.0;;;;125.0;32.7074417006696;31.467882974655076;;;;;
