Condition;count;mean;std;min;5%;10%;25%;50%;75%;90%;95%;99%;max;ci95_hi;ci95_lo;iqr;lower_bound;upper_bound;lower_whisker;upper_whisker
No Feedback;441.0;37.07984807256236;13.936575890017936;9.477;21.537;23.223;27.545;33.432;43.718;55.455;63.752;81.88600000000008;104.928;38.3805951556307;35.779100989494026;16.173000000000002;3.285499999999999;67.9775;9.477;67.906
Tactile Feedback;441.0;37.95193877551021;14.342623374795947;10.088;21.367;23.361;27.425;34.578;44.268;57.4;65.411;84.8324000000001;102.784;39.290583623824496;36.61329392719592;16.843;2.1605000000000025;69.5325;10.088;68.994
Visual Feedback;441.0;30.564857142857143;9.940149202282443;16.198;18.743;20.176;23.86;28.025;35.167;45.458;51.865;60.669000000000025;73.23;31.492604401736838;29.63710988397745;11.307000000000002;6.899499999999996;52.127500000000005;16.198;52.092
Combined Feedback;441.0;31.134979591836736;11.90443176976315;13.588;18.789;20.351;23.096;28.679;36.094;44.742;49.195;78.22620000000018;127.009;32.246059890347965;30.02389929332551;12.998000000000001;3.599;55.591;13.588;53.655
