No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
40.78066666666667;44.436952380952384;41.41323809523809;42.24019047619048
41.481047619047615;39.71495238095238;34.077285714285715;37.31404761904762
43.36528571428572;38.45014285714286;33.24604761904762;35.65857142857143
40.81057142857143;41.93252380952381;34.88504761904762;38.065380952380956
42.55747619047619;45.744;35.97666666666667;41.51114285714286
36.17133333333333;41.344142857142856;35.66571428571429;36.19919047619047
35.07857142857143;39.01014285714285;33.284238095238095;34.62642857142857
39.552;41.280571428571434;33.7062380952381;34.74780952380952
36.2222380952381;40.89785714285714;34.403238095238095;31.920619047619045
39.35928571428571;42.448857142857136;31.35961904761905;32.13319047619048
40.04609523809523;45.14704761904762;32.18380952380952;33.14266666666666
40.855428571428575;42.41133333333333;35.464999999999996;34.522666666666666
38.37804761904762;42.30557142857143;33.56461904761905;31.15652380952381
39.36804761904762;38.44747619047619;32.69361904761905;33.15380952380953
40.11490476190476;38.842571428571425;30.745047619047618;30.63242857142857
48.517761904761905;33.689190476190475;35.28095238095238;29.222142857142856
40.87976190476191;41.71233333333333;33.26752380952381;33.375095238095234
43.007285714285715;40.491571428571426;31.939142857142855;31.895
38.699333333333335;45.22161904761905;33.1717619047619;29.460619047619048
39.89219047619048;39.46619047619048;29.250809523809526;33.46257142857143
36.586190476190474;40.47947619047619;31.99104761904762;31.56438095238095
