;Duration_Minutes
count;22.0
mean;65.10378787878788
std;8.476147566042462
min;50.583333333333336
5%;52.64083333333333
10%;53.70333333333333
25%;60.22916666666667
50%;63.55
75%;71.0125
90%;76.64333333333335
95%;78.75666666666666
99%;80.93033333333334
max;81.48333333333333
ci95_hi;68.64574451549947
ci95_lo;61.561831242076295
iqr;10.783333333333331
lower_bound;44.054166666666674
upper_bound;87.1875
lower_whisker;50.583333333333336
upper_whisker;81.48333333333333
