No Feedback;Tactile Feedback;Visual Feedback;Combined Feedback
18.59090909090909;21.454545454545453;16.545454545454547;16.227272727272727
19.045454545454547;21.772727272727273;15.545454545454545;17.59090909090909
22.40909090909091;20.181818181818183;15.5;15.454545454545455
20.727272727272727;23.227272727272727;16.545454545454547;15.590909090909092
22.727272727272727;25.40909090909091;15.454545454545455;18.181818181818183
20.90909090909091;22.454545454545453;16.227272727272727;15.772727272727273
17.681818181818183;21.59090909090909;15.954545454545455;17.181818181818183
19.90909090909091;22.0;15.681818181818182;16.318181818181817
20.454545454545453;21.59090909090909;15.318181818181818;15.409090909090908
22.045454545454547;23.318181818181817;15.0;16.181818181818183
21.09090909090909;23.454545454545453;15.772727272727273;15.272727272727273
22.90909090909091;21.954545454545453;17.181818181818183;16.5
21.0;20.863636363636363;16.40909090909091;14.818181818181818
22.227272727272727;18.363636363636363;15.409090909090908;17.136363636363637
21.045454545454547;20.545454545454547;15.818181818181818;16.227272727272727
28.136363636363637;17.954545454545453;16.454545454545453;13.863636363636363
22.90909090909091;21.954545454545453;15.090909090909092;17.227272727272727
25.181818181818183;22.318181818181817;15.136363636363637;17.0
20.09090909090909;24.272727272727273;15.363636363636363;15.590909090909092
23.727272727272727;20.818181818181817;15.136363636363637;16.5
19.454545454545453;20.90909090909091;15.0;15.090909090909092
