;ProbandId;TrialNumber;Condition;ShowNumberCount;BlockId;LayerChangeCount;Difference
1251;14;35;Tactile Feedback;6;1.0;15.0;9.0
1252;14;36;Tactile Feedback;9;1.0;14.0;5.0
1253;14;37;Tactile Feedback;13;1.0;22.0;9.0
1254;14;38;Tactile Feedback;18;1.0;27.0;9.0
1255;14;39;Tactile Feedback;15;1.0;25.0;10.0
1256;14;40;Tactile Feedback;11;1.0;21.0;10.0
1257;14;41;Tactile Feedback;11;1.0;31.0;20.0
1258;14;42;Combined Feedback;8;2.0;11.0;3.0
1259;14;43;Combined Feedback;8;2.0;16.0;8.0
1260;14;44;Combined Feedback;10;2.0;17.0;7.0
1261;14;45;Combined Feedback;17;2.0;18.0;1.0
1262;14;46;Combined Feedback;9;2.0;14.0;5.0
1263;14;47;Combined Feedback;7;2.0;11.0;4.0
1264;14;48;Combined Feedback;7;2.0;12.0;5.0
1265;14;49;Combined Feedback;10;2.0;17.0;7.0
1266;14;50;Combined Feedback;9;2.0;10.0;1.0
1267;14;51;Combined Feedback;9;2.0;12.0;3.0
1268;14;52;Combined Feedback;9;2.0;11.0;2.0
1269;14;53;Combined Feedback;8;2.0;11.0;3.0
1270;14;54;Combined Feedback;13;2.0;16.0;3.0
1271;14;55;Combined Feedback;9;2.0;14.0;5.0
1272;14;56;Combined Feedback;7;2.0;14.0;7.0
1273;14;57;Combined Feedback;9;2.0;14.0;5.0
1274;14;58;Combined Feedback;7;2.0;11.0;4.0
1275;14;59;Combined Feedback;8;2.0;17.0;9.0
1276;14;60;Combined Feedback;8;2.0;18.0;10.0
1277;14;61;Combined Feedback;8;2.0;10.0;2.0
1278;14;62;Combined Feedback;8;2.0;10.0;2.0
1279;14;63;No Feedback;11;3.0;20.0;9.0
1280;14;64;No Feedback;13;3.0;29.0;16.0
1281;14;65;No Feedback;12;3.0;30.0;18.0
1282;14;66;No Feedback;9;3.0;13.0;4.0
1283;14;67;No Feedback;14;3.0;24.0;10.0
1284;14;68;No Feedback;10;3.0;19.0;9.0
1285;14;69;No Feedback;8;3.0;12.0;4.0
1286;14;70;No Feedback;10;3.0;15.0;5.0
1287;14;71;No Feedback;15;3.0;36.0;21.0
1288;14;72;No Feedback;10;3.0;18.0;8.0
1289;14;73;No Feedback;12;3.0;33.0;21.0
1290;14;74;No Feedback;9;3.0;14.0;5.0
1291;14;75;No Feedback;13;3.0;19.0;6.0
1292;14;76;No Feedback;8;3.0;15.0;7.0
1293;14;77;No Feedback;7;3.0;14.0;7.0
1294;14;78;No Feedback;9;3.0;32.0;23.0
1295;14;79;No Feedback;12;3.0;89.0;77.0
1296;14;80;No Feedback;8;3.0;18.0;10.0
1297;14;81;No Feedback;9;3.0;20.0;11.0
1298;14;82;No Feedback;8;3.0;12.0;4.0
1299;14;83;No Feedback;14;3.0;25.0;11.0
1300;15;-8;Combined Feedback;18;;;
1301;15;-7;Combined Feedback;12;;;
1302;15;-6;Visual Feedback;9;;;
1303;15;-5;Visual Feedback;10;;;
1304;15;-4;Tactile Feedback;12;;;
1305;15;-3;Tactile Feedback;8;;;
1306;15;-2;No Feedback;7;;;
1307;15;-1;No Feedback;7;;;
1308;15;0;Visual Feedback;7;-4.0;12.0;5.0
1309;15;0;Visual Feedback;7;-4.0;12.0;5.0
1310;15;0;Visual Feedback;7;-3.0;12.0;5.0
1311;15;0;Visual Feedback;7;-3.0;12.0;5.0
1312;15;0;Visual Feedback;7;-2.0;12.0;5.0
1313;15;0;Visual Feedback;7;-2.0;12.0;5.0
1314;15;0;Visual Feedback;7;-1.0;12.0;5.0
1315;15;0;Visual Feedback;7;-1.0;12.0;5.0
1316;15;0;Visual Feedback;7;0.0;12.0;5.0
1317;15;1;Visual Feedback;9;0.0;17.0;8.0
1318;15;2;Visual Feedback;8;0.0;17.0;9.0
1319;15;3;Visual Feedback;7;0.0;13.0;6.0
1320;15;4;Visual Feedback;7;0.0;11.0;4.0
1321;15;5;Visual Feedback;7;0.0;12.0;5.0
1322;15;6;Visual Feedback;17;0.0;28.0;11.0
1323;15;7;Visual Feedback;10;0.0;19.0;9.0
1324;15;8;Visual Feedback;8;0.0;16.0;8.0
1325;15;9;Visual Feedback;7;0.0;14.0;7.0
1326;15;10;Visual Feedback;8;0.0;17.0;9.0
1327;15;11;Visual Feedback;7;0.0;12.0;5.0
1328;15;12;Visual Feedback;13;0.0;14.0;1.0
1329;15;13;Visual Feedback;8;0.0;15.0;7.0
1330;15;14;Visual Feedback;8;0.0;13.0;5.0
1331;15;15;Visual Feedback;9;0.0;20.0;11.0
1332;15;16;Visual Feedback;8;0.0;12.0;4.0
1333;15;17;Visual Feedback;11;0.0;15.0;4.0
1334;15;18;Visual Feedback;10;0.0;21.0;11.0
1335;15;19;Visual Feedback;7;0.0;12.0;5.0
1336;15;20;Visual Feedback;10;0.0;21.0;11.0
1337;15;21;No Feedback;8;1.0;14.0;6.0
1338;15;22;No Feedback;8;1.0;25.0;17.0
1339;15;23;No Feedback;8;1.0;17.0;9.0
1340;15;24;No Feedback;8;1.0;19.0;11.0
1341;15;25;No Feedback;8;1.0;21.0;13.0
1342;15;26;No Feedback;8;1.0;20.0;12.0
1343;15;27;No Feedback;9;1.0;18.0;9.0
1344;15;28;No Feedback;9;1.0;24.0;15.0
1345;15;29;No Feedback;8;1.0;28.0;20.0
1346;15;30;No Feedback;15;1.0;53.0;38.0
1347;15;31;No Feedback;8;1.0;20.0;12.0
1348;15;32;No Feedback;12;1.0;46.0;34.0
1349;15;33;No Feedback;8;1.0;17.0;9.0
1350;15;34;No Feedback;7;1.0;15.0;8.0
1351;15;35;No Feedback;7;1.0;14.0;7.0
1352;15;36;No Feedback;9;1.0;35.0;26.0
1353;15;37;No Feedback;7;1.0;26.0;19.0
1354;15;38;No Feedback;11;1.0;42.0;31.0
1355;15;39;No Feedback;7;1.0;12.0;5.0
1356;15;40;No Feedback;7;1.0;22.0;15.0
1357;15;41;No Feedback;8;1.0;12.0;4.0
1358;15;42;Combined Feedback;14;2.0;27.0;13.0
1359;15;43;Combined Feedback;7;2.0;10.0;3.0
1360;15;44;Combined Feedback;8;2.0;12.0;4.0
1361;15;45;Combined Feedback;8;2.0;11.0;3.0
1362;15;46;Combined Feedback;7;2.0;14.0;7.0
1363;15;47;Combined Feedback;13;2.0;14.0;1.0
1364;15;48;Combined Feedback;8;2.0;16.0;8.0
1365;15;49;Combined Feedback;9;2.0;17.0;8.0
1366;15;50;Combined Feedback;11;2.0;16.0;5.0
1367;15;51;Combined Feedback;11;2.0;30.0;19.0
1368;15;52;Combined Feedback;8;2.0;18.0;10.0
1369;15;53;Combined Feedback;11;2.0;25.0;14.0
1370;15;54;Combined Feedback;10;2.0;20.0;10.0
1371;15;55;Combined Feedback;7;2.0;12.0;5.0
1372;15;56;Combined Feedback;8;2.0;10.0;2.0
1373;15;57;Combined Feedback;7;2.0;13.0;6.0
1374;15;58;Combined Feedback;8;2.0;16.0;8.0
1375;15;59;Combined Feedback;7;2.0;11.0;4.0
1376;15;60;Combined Feedback;8;2.0;11.0;3.0
1377;15;61;Combined Feedback;7;2.0;12.0;5.0
1378;15;62;Combined Feedback;7;2.0;11.0;4.0
1379;15;63;Tactile Feedback;9;3.0;31.0;22.0
1380;15;64;Tactile Feedback;6;3.0;10.0;4.0
1381;15;65;Tactile Feedback;7;3.0;18.0;11.0
1382;15;66;Tactile Feedback;7;3.0;20.0;13.0
1383;15;67;Tactile Feedback;7;3.0;13.0;6.0
1384;15;68;Tactile Feedback;12;3.0;34.0;22.0
1385;15;69;Tactile Feedback;8;3.0;23.0;15.0
1386;15;70;Tactile Feedback;8;3.0;24.0;16.0
1387;15;71;Tactile Feedback;11;3.0;36.0;25.0
1388;15;72;Tactile Feedback;7;3.0;13.0;6.0
1389;15;73;Tactile Feedback;13;3.0;39.0;26.0
1390;15;74;Tactile Feedback;8;3.0;19.0;11.0
1391;15;75;Tactile Feedback;9;3.0;21.0;12.0
1392;15;76;Tactile Feedback;7;3.0;10.0;3.0
1393;15;77;Tactile Feedback;11;3.0;27.0;16.0
1394;15;78;Tactile Feedback;10;3.0;34.0;24.0
1395;15;79;Tactile Feedback;8;3.0;28.0;20.0
1396;15;80;Tactile Feedback;7;3.0;12.0;5.0
1397;15;81;Tactile Feedback;8;3.0;20.0;12.0
1398;15;82;Tactile Feedback;10;3.0;35.0;25.0
1399;15;83;Tactile Feedback;8;3.0;14.0;6.0
1400;16;-8;Combined Feedback;9;;;
1401;16;-7;Combined Feedback;13;;;
1402;16;-6;Visual Feedback;13;;;
1403;16;-5;Visual Feedback;7;;;
1404;16;-4;Tactile Feedback;14;;;
1405;16;-3;Tactile Feedback;15;;;
1406;16;-2;No Feedback;9;;;
1407;16;-1;No Feedback;9;;;
1408;16;0;No Feedback;9;-4.0;25.0;16.0
1409;16;0;No Feedback;9;-4.0;25.0;16.0
1410;16;0;No Feedback;9;-3.0;25.0;16.0
1411;16;0;No Feedback;9;-3.0;25.0;16.0
1412;16;0;No Feedback;9;-2.0;25.0;16.0
1413;16;0;No Feedback;9;-2.0;25.0;16.0
1414;16;0;No Feedback;9;-1.0;25.0;16.0
1415;16;0;No Feedback;9;-1.0;25.0;16.0
1416;16;0;No Feedback;9;0.0;25.0;16.0
1417;16;1;No Feedback;20;0.0;49.0;29.0
1418;16;2;No Feedback;11;0.0;53.0;42.0
1419;16;3;No Feedback;8;0.0;34.0;26.0
1420;16;4;No Feedback;10;0.0;23.0;13.0
1421;16;5;No Feedback;14;0.0;48.0;34.0
1422;16;6;No Feedback;10;0.0;32.0;22.0
1423;16;7;No Feedback;9;0.0;21.0;12.0
1424;16;8;No Feedback;7;0.0;31.0;24.0
1425;16;9;No Feedback;7;0.0;35.0;28.0
1426;16;10;No Feedback;7;0.0;26.0;19.0
1427;16;11;No Feedback;9;0.0;39.0;30.0
1428;16;12;No Feedback;10;0.0;33.0;23.0
1429;16;13;No Feedback;7;0.0;26.0;19.0
1430;16;14;No Feedback;10;0.0;19.0;9.0
1431;16;15;No Feedback;7;0.0;18.0;11.0
1432;16;16;No Feedback;14;0.0;40.0;26.0
1433;16;17;No Feedback;10;0.0;28.0;18.0
