Condition;count;mean;std;min;5%;10%;25%;50%;75%;90%;95%;99%;max;ci95_hi;ci95_lo;iqr;lower_bound;upper_bound;lower_whisker;upper_whisker
No Feedback;462.0;5.883116883116883;5.108728507836943;1.0;1.0;1.0;3.0;5.0;9.0;12.0;14.0;23.779999999999973;51.0;6.348968821868855;5.417264944364911;6.0;-6.0;18.0;1.0;18.0
Tactile Feedback;462.0;6.253246753246753;5.979605637405689;1.0;1.0;1.0;3.0;5.0;9.0;13.0;17.0;29.389999999999986;37.0;6.7985117589882895;5.707981747505216;6.0;-6.0;18.0;1.0;18.0
Visual Feedback;462.0;2.9047619047619047;2.15646609957875;0.0;1.0;1.0;1.0;3.0;4.0;6.0;7.0;9.0;12.0;3.10140455504183;2.7081192544819794;3.0;-3.5;8.5;0.0;8.0
Combined Feedback;462.0;3.1471861471861473;2.537352772725291;0.0;1.0;1.0;1.0;3.0;5.0;6.900000000000034;8.949999999999989;10.779999999999973;18.0;3.37856088292685;2.9158114114454445;4.0;-5.0;11.0;0.0;10.0
