;FrameRate
count;1848.0
mean;33.29680373811415
std;0.10001499232442045
min;31.66135294674706
5%;33.18302565974512
10%;33.27238929337616
25%;33.30356763369571
50%;33.31850698673242
75%;33.32803871832631
90%;33.336177196469094
95%;33.34034809873134
99%;33.3530140627945
max;33.3692142088267
ci95_hi;33.30136379430104
ci95_lo;33.29224368192726
iqr;0.024471084630604878
lower_bound;33.2668610067498
upper_bound;33.36474534527222
lower_whisker;33.26687425793588
upper_whisker;33.36092417317451
