;count;mean;std;min;5%;10%;25%;50%;75%;90%;95%;99%;max;ci95_hi;ci95_lo;iqr;lower_bound;upper_bound;lower_whisker;upper_whisker
No Feedback;441.0;40.082072562358285;13.964366772552173;10.936;24.239;26.429;30.527;36.535;46.175;58.056;66.751;87.95460000000006;108.297;41.38541346112982;38.77873166358675;15.647999999999996;7.055000000000007;69.64699999999999;10.936;69.314
Tactile Feedback;441.0;41.11783446712018;14.71116640583825;13.384;24.151;26.518;30.359;37.6;47.447;61.022;69.136;88.42400000000008;111.566;42.49087666499842;39.74479226924195;17.088;4.727;73.07900000000001;13.384;72.901
Visual Feedback;441.0;33.69384126984127;10.604535814161709;16.76;20.846;22.368;26.616;31.319;38.095;48.762;56.447;64.41240000000003;75.288;34.683597945829696;32.70408459385285;11.479;9.3975;55.3135;16.76;55.209
Combined Feedback;441.0;34.095451247165535;12.338805730591472;15.567;20.872;22.639;25.87;31.832;39.32;47.879;52.68;83.4032000000002;134.119;35.24707311535407;32.943829378977;13.45;5.695000000000004;59.495;15.567;57.64
DurationMS;1764.0;37.24729988662131;13.421789973137637;10.936;;;28.1905;33.896;43.153;;;;134.119;37.873650085367736;36.62094968787489;;;;;
