;FrameStats
count;2688171.0
mean;30.030140939694686
std;6.502515990799035
min;0.0
5%;16.0
10%;18.0
25%;30.0
50%;31.0
75%;32.0
90%;33.0
95%;36.0
99%;48.0
max;374.0
ci95_hi;30.037914304584618
ci95_lo;30.022367574804754
iqr;2.0
lower_bound;27.0
upper_bound;35.0
lower_whisker;27.0
upper_whisker;35.0
